id,tituloPincipal,tituloOriginal,anoLancamento,anoTermino,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Marius Pontmercy,Jean Servais,1910,1976,"actor,writer","tt0045034,tt0048021,tt0056197,tt0025509"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,ChampmathieuJean Valjean,Harry Baur,1880,1943,actor,"tt0025191,tt0024700,tt0025509,tt0029706"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Inspecteur Javert,Charles Vanel,1892,1989,"actor,director,writer","tt0048728,tt0046268,tt0050390,tt0046911"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Grantaire,Paul Azaïs,1903,1974,"actor,soundtrack","tt0025115,tt0025509,tt0141083,tt0165229"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,M. Gillenormand,Max Dearly,1874,1943,actor,"tt0027173,tt0025043,tt0171183,tt0025442"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Thénardier,Charles Dullin,1885,1949,"actor,producer","tt0019127,tt0192125,tt0015141,tt0033229"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Gavroche,Émile Genevois,1918,1962,actor,"tt0048021,tt0025471,tt0025509,tt0046798"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Monseigneur Myriel,Henry Krauss,1866,1935,"actor,director,writer","tt0194471,tt1829708,tt0001790,tt0205952"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Le président des Assises,Georges Mauloy,1875,1942,actor,"tt0192691,tt0158376,tt0170202,tt0025509"
tt0025509,Les Misérables,Les misérables,1934,1934,279,Drama,8.4,1820,actor,Montparnasse,Lucien Nat,1895,1972,actor,"tt0047484,tt0036665,tt0025509,tt0197716"
tt0035803,The German Weekly Review,Die Deutsche Wochenschau,1940,1945,12,"Documentary,News",8.1,55,actor,Narrator,Harry Giese,1903,1991,actor,"tt0047080,tt0050418,tt0220485,tt0288537"
tt0035803,The German Weekly Review,Die Deutsche Wochenschau,1940,1945,12,"Documentary,News",8.1,55,actor,\N,Adolf Hitler,1889,1945,"writer,miscellaneous","tt0036629,tt0025913,tt0183997,tt5360212"
tt0035803,The German Weekly Review,Die Deutsche Wochenschau,1940,1945,12,"Documentary,News",8.1,55,actor,\N,Rudolf Hess,1894,1987,writer,"tt20781954,tt0233875,tt0025913,tt0426688"
tt0035803,The German Weekly Review,Die Deutsche Wochenschau,1940,1945,12,"Documentary,News",8.1,55,actor,\N,Hermann Göring,1893,1946,"actor,miscellaneous","tt0247283,tt0193631,tt0156078,tt0897254"
tt0035803,The German Weekly Review,Die Deutsche Wochenschau,1940,1945,12,"Documentary,News",8.1,55,actor,\N,Joseph Goebbels,1897,1945,"writer,producer","tt0037867,tt0247283,tt0025913,tt0233765"
tt0039120,Americana,Americana,1947,1949,30,"Family,Game-Show",3.3,14,actor,Announcer,Hugh James,1915,2001,"miscellaneous,actor","tt0041069,tt1147441,tt1144460,tt0046589"
tt0039120,Americana,Americana,1947,1949,30,"Family,Game-Show",3.3,14,actress,Co-hostSelf,Vivian Ferrer,\N,\N,actress,"tt0039120,tt0039123"
